,zip,primary_city,state,county,latitude,longitude
13440,30813,Grovetown,GA,Columbia County,33.44,-82.2
13441,30814,Harlem,GA,Columbia County,33.41,-82.31
13442,30815,Hephzibah,GA,Richmond County,33.28,-82.1
13443,30816,Keysville,GA,Burke County,33.16,-82.17
13444,30817,Lincolnton,GA,Lincoln County,33.79,-82.47
13445,30818,Matthews,GA,Jefferson County,33.26,-82.33
13446,30819,Mesena,GA,Warren County,33.45,-82.58
13447,30820,Mitchell,GA,Glascock County,33.21,-82.7
13448,30821,Norwood,GA,Warren County,33.46,-82.7
13449,30822,Perkins,GA,Jenkins County,32.9,-81.95
13450,30823,Stapleton,GA,Jefferson County,33.21,-82.46
13451,30824,Thomson,GA,McDuffie County,33.46,-82.5
13452,30828,Warrenton,GA,Warren County,33.4,-82.66
13453,30830,Waynesboro,GA,Burke County,33.09,-82.01
13454,30833,Wrens,GA,Jefferson County,33.2,-82.38
13455,30901,Augusta,GA,Richmond County,33.45,-81.99
13456,30903,Augusta,GA,Columbia County,33.49,-82.16
13457,30904,Augusta,GA,Richmond County,33.48,-82.01
13458,30905,Augusta,GA,Richmond County,33.42,-82.14
13459,30906,Augusta,GA,Richmond County,33.35,-81.97
13460,30907,Augusta,GA,Columbia County,33.52,-82.09
13461,30909,Augusta,GA,Richmond County,33.47,-82.08
13463,30912,Augusta,GA,Richmond County,33.47,-81.99
13465,30914,Augusta,GA,Richmond County,33.45,-81.99
13466,30916,Augusta,GA,Richmond County,33.45,-81.99
13467,30917,Augusta,GA,Richmond County,33.45,-81.99
13468,30919,Augusta,GA,Richmond County,33.45,-81.99
13469,30999,Augusta,GA,Richmond County,33.45,-81.99
13470,31001,Abbeville,GA,Wilcox County,31.99,-83.3
13471,31002,Adrian,GA,Emanuel County,32.52,-82.59
13472,31003,Allentown,GA,Wilkinson County,32.59,-83.22
13473,31004,Bolingbroke,GA,Monroe County,32.95,-83.81
13474,31005,Bonaire,GA,Houston County,32.54,-83.6
13475,31006,Butler,GA,Taylor County,32.55,-84.23
13476,31007,Byromville,GA,Dooly County,32.2,-83.9
13477,31008,Byron,GA,Peach County,32.65,-83.75
13478,31009,Cadwell,GA,Laurens County,32.34,-83.04
13479,31010,Cordele,GA,Crisp County,31.96,-83.77
13480,31011,Chauncey,GA,Dodge County,32.1,-83.06
13481,31012,Chester,GA,Dodge County,32.39,-83.15
13482,31013,Clinchfield,GA,Houston County,32.35,-83.7
13483,31014,Cochran,GA,Bleckley County,32.38,-83.35
13484,31015,Cordele,GA,Crisp County,31.96,-83.77
13485,31016,Culloden,GA,Monroe County,32.86,-84.09
13486,31017,Danville,GA,Twiggs County,32.6,-83.24
13487,31018,Davisboro,GA,Washington County,32.98,-82.6
13488,31019,Dexter,GA,Laurens County,32.43,-83.06
13489,31020,Dry Branch,GA,Twiggs County,32.69,-83.5
13490,31021,Dublin,GA,Laurens County,32.53,-82.92
13491,31022,Dudley,GA,Laurens County,32.53,-83.08
13492,31023,Eastman,GA,Dodge County,32.19,-83.17
13493,31024,Eatonton,GA,Putnam County,33.32,-83.38
13494,31025,Elko,GA,Houston County,32.33,-83.73
13495,31026,Eatonton,GA,Putnam County,33.33,-83.39
13496,31027,East Dublin,GA,Laurens County,32.58,-82.8
13497,31028,Centerville,GA,Houston County,32.63,-83.67
13498,31029,Forsyth,GA,Monroe County,33.03,-83.94
13499,31030,Fort Valley,GA,Peach County,32.55,-83.88
